sepal_length,sepal_width,petal_length,petal_width,species,total_size,petal_ratio
4.8,3.0,1.4,0.3,setosa,9.5,4.666666666666667
5.1,3.8,1.6,0.2,setosa,10.699999999999998,8.0
4.6,3.2,1.4,0.2,setosa,9.399999999999999,6.999999999999999
5.3,3.7,1.5,0.2,setosa,10.7,7.5
5.0,3.3,1.4,0.2,setosa,9.9,6.999999999999999
7.0,3.2,4.7,1.4,versicolor,16.299999999999997,3.3571428571428577
6.4,3.2,4.5,1.5,versicolor,15.600000000000001,3.0
6.9,3.1,4.9,1.5,versicolor,16.4,3.266666666666667
5.5,2.3,4.0,1.3,versicolor,13.100000000000001,3.0769230769230766
6.5,2.8,4.6,1.5,versicolor,15.4,3.0666666666666664
5.7,2.8,4.5,1.3,versicolor,14.3,3.4615384615384612
6.3,3.3,4.7,1.6,versicolor,15.9,2.9375
4.9,2.4,3.3,1.0,versicolor,11.600000000000001,3.3
6.6,2.9,4.6,1.3,versicolor,15.4,3.538461538461538
5.2,2.7,3.9,1.4,versicolor,13.200000000000001,2.785714285714286
5.0,2.0,3.5,1.0,versicolor,11.5,3.5
5.9,3.0,4.2,1.5,versicolor,14.600000000000001,2.8000000000000003
6.0,2.2,4.0,1.0,versicolor,13.2,4.0
6.1,2.9,4.7,1.4,versicolor,15.1,3.3571428571428577
5.6,2.9,3.6,1.3,versicolor,13.4,2.769230769230769
6.7,3.1,4.4,1.4,versicolor,15.600000000000001,3.1428571428571432
5.6,3.0,4.5,1.5,versicolor,14.6,3.0
5.8,2.7,4.1,1.0,versicolor,13.6,4.1
6.2,2.2,4.5,1.5,versicolor,14.4,3.0
5.6,2.5,3.9,1.1,versicolor,13.1,3.545454545454545
5.9,3.2,4.8,1.8,versicolor,15.700000000000003,2.6666666666666665
6.1,2.8,4.0,1.3,versicolor,14.2,3.0769230769230766
6.3,2.5,4.9,1.5,versicolor,15.200000000000001,3.266666666666667
6.1,2.8,4.7,1.2,versicolor,14.799999999999997,3.916666666666667
6.4,2.9,4.3,1.3,versicolor,14.900000000000002,3.3076923076923075
6.6,3.0,4.4,1.4,versicolor,15.4,3.1428571428571432
6.8,2.8,4.8,1.4,versicolor,15.799999999999999,3.428571428571429
6.7,3.0,5.0,1.7,versicolor,16.4,2.9411764705882355
6.0,2.9,4.5,1.5,versicolor,14.9,3.0
5.7,2.6,3.5,1.0,versicolor,12.8,3.5
5.5,2.4,3.8,1.1,versicolor,12.799999999999999,3.454545454545454
5.5,2.4,3.7,1.0,versicolor,12.600000000000001,3.7
5.8,2.7,3.9,1.2,versicolor,13.6,3.25
6.0,2.7,5.1,1.6,versicolor,15.399999999999999,3.1874999999999996
5.4,3.0,4.5,1.5,versicolor,14.4,3.0
6.0,3.4,4.5,1.6,versicolor,15.5,2.8125
6.7,3.1,4.7,1.5,versicolor,16.0,3.1333333333333333
6.3,2.3,4.4,1.3,versicolor,14.3,3.3846153846153846
5.6,3.0,4.1,1.3,versicolor,14.0,3.1538461538461533
5.5,2.5,4.0,1.3,versicolor,13.3,3.0769230769230766
5.5,2.6,4.4,1.2,versicolor,13.7,3.666666666666667
6.1,3.0,4.6,1.4,versicolor,15.1,3.2857142857142856
5.8,2.6,4.0,1.2,versicolor,13.6,3.3333333333333335
5.0,2.3,3.3,1.0,versicolor,11.6,3.3
5.6,2.7,4.2,1.3,versicolor,13.8,3.230769230769231
5.7,3.0,4.2,1.2,versicolor,14.099999999999998,3.5000000000000004
5.7,2.9,4.2,1.3,versicolor,14.100000000000001,3.230769230769231
6.2,2.9,4.3,1.3,versicolor,14.7,3.3076923076923075
5.1,2.5,3.0,1.1,versicolor,11.7,2.727272727272727
5.7,2.8,4.1,1.3,versicolor,13.9,3.1538461538461533
6.3,3.3,6.0,2.5,virginica,18.1,2.4
5.8,2.7,5.1,1.9,virginica,15.5,2.6842105263157894
7.1,3.0,5.9,2.1,virginica,18.1,2.8095238095238098
6.3,2.9,5.6,1.8,virginica,16.599999999999998,3.1111111111111107
6.5,3.0,5.8,2.2,virginica,17.5,2.6363636363636362
7.6,3.0,6.6,2.1,virginica,19.3,3.1428571428571423
4.9,2.5,4.5,1.7,virginica,13.6,2.6470588235294117
7.3,2.9,6.3,1.8,virginica,18.3,3.5
6.7,2.5,5.8,1.8,virginica,16.8,3.222222222222222
7.2,3.6,6.1,2.5,virginica,19.4,2.44
6.5,3.2,5.1,2.0,virginica,16.799999999999997,2.55
6.4,2.7,5.3,1.9,virginica,16.3,2.7894736842105265
6.8,3.0,5.5,2.1,virginica,17.400000000000002,2.619047619047619
5.7,2.5,5.0,2.0,virginica,15.2,2.5
5.8,2.8,5.1,2.4,virginica,16.099999999999998,2.125
6.4,3.2,5.3,2.3,virginica,17.200000000000003,2.3043478260869565
6.5,3.0,5.5,1.8,virginica,16.8,3.0555555555555554
7.7,3.8,6.7,2.2,virginica,20.4,3.0454545454545454
7.7,2.6,6.9,2.3,virginica,19.500000000000004,3.0000000000000004
6.0,2.2,5.0,1.5,virginica,14.7,3.3333333333333335
6.9,3.2,5.7,2.3,virginica,18.1,2.4782608695652177
5.6,2.8,4.9,2.0,virginica,15.299999999999999,2.45
7.7,2.8,6.7,2.0,virginica,19.2,3.35
6.3,2.7,4.9,1.8,virginica,15.700000000000001,2.7222222222222223
6.7,3.3,5.7,2.1,virginica,17.8,2.7142857142857144
7.2,3.2,6.0,1.8,virginica,18.2,3.333333333333333
6.2,2.8,4.8,1.8,virginica,15.600000000000001,2.6666666666666665
6.1,3.0,4.9,1.8,virginica,15.8,2.7222222222222223
6.4,2.8,5.6,2.1,virginica,16.9,2.6666666666666665
7.2,3.0,5.8,1.6,virginica,17.6,3.6249999999999996
7.4,2.8,6.1,1.9,virginica,18.199999999999996,3.2105263157894735
7.9,3.8,6.4,2.0,virginica,20.1,3.2
6.4,2.8,5.6,2.2,virginica,17.0,2.545454545454545
6.3,2.8,5.1,1.5,virginica,15.7,3.4
6.1,2.6,5.6,1.4,virginica,15.7,4.0
7.7,3.0,6.1,2.3,virginica,19.099999999999998,2.6521739130434785
6.3,3.4,5.6,2.4,virginica,17.7,2.3333333333333335
6.4,3.1,5.5,1.8,virginica,16.8,3.0555555555555554
6.0,3.0,4.8,1.8,virginica,15.600000000000001,2.6666666666666665
6.9,3.1,5.4,2.1,virginica,17.5,2.5714285714285716
6.7,3.1,5.6,2.4,virginica,17.8,2.3333333333333335
6.9,3.1,5.1,2.3,virginica,17.4,2.217391304347826
5.8,2.7,5.1,1.9,virginica,15.5,2.6842105263157894
6.8,3.2,5.9,2.3,virginica,18.2,2.565217391304348
6.7,3.3,5.7,2.5,virginica,18.2,2.2800000000000002
6.7,3.0,5.2,2.3,virginica,17.2,2.2608695652173916
6.3,2.5,5.0,1.9,virginica,15.700000000000001,2.6315789473684212
6.5,3.0,5.2,2.0,virginica,16.7,2.6
6.2,3.4,5.4,2.3,virginica,17.3,2.347826086956522
5.9,3.0,5.1,1.8,virginica,15.8,2.833333333333333
